name,value,time
motion,active,54:28.4
motion,inactive,54:27.2
motion,active,54:10.9
motion,inactive,54:08.4
motion,active,53:44.7
motion,inactive,53:41.2
motion,active,53:04.2
motion,inactive,52:59.3
motion,active,52:26.0
motion,inactive,52:24.5
motion,active,52:03.2
motion,inactive,51:59.3
motion,active,51:43.1
motion,inactive,51:39.7
motion,active,51:10.5
motion,inactive,50:50.2
motion,active,49:29.0
motion,inactive,49:20.3
motion,active,48:41.8
motion,inactive,48:35.3
motion,active,47:03.4
motion,inactive,46:52.4
motion,active,46:03.4
motion,inactive,46:01.9
motion,active,45:08.3
motion,inactive,44:14.5
motion,active,43:29.9
motion,inactive,43:28.9
motion,active,43:04.1
motion,inactive,42:47.3
motion,active,42:36.8
motion,inactive,42:34.1
motion,active,41:50.9
motion,inactive,41:49.8
motion,active,41:39.4
motion,inactive,41:36.3
motion,active,40:45.5
motion,inactive,40:39.7
motion,active,39:10.6
motion,inactive,38:53.6
motion,active,38:17.3
motion,inactive,37:59.9
motion,active,37:46.4
motion,inactive,37:41.8
temperature,75,37:05.9
motion,active,37:04.4
motion,inactive,36:45.2
motion,active,36:25.7
motion,inactive,36:22.9
motion,active,36:12.5
motion,inactive,36:05.8
motion,active,35:56.0
motion,inactive,35:55.0
motion,active,35:27.8
motion,inactive,35:23.2
motion,active,35:01.8
motion,inactive,34:57.7
motion,active,34:24.1
motion,inactive,34:17.3
motion,active,34:05.9
motion,inactive,33:50.1
motion,active,33:25.2
motion,inactive,33:11.5
motion,active,32:06.9
motion,inactive,32:00.6
motion,active,31:29.5
motion,inactive,31:19.9
acceleration,inactive,30:53.9
motion,active,30:51.2
acceleration,active,30:49.2
motion,inactive,30:11.4
acceleration,inactive,30:04.7
acceleration,active,30:00.3
motion,active,29:55.6
motion,inactive,29:51.2
motion,active,28:31.6
motion,inactive,27:58.4
motion,active,27:41.7
motion,inactive,27:23.5
motion,active,27:00.5
motion,inactive,26:42.0
motion,active,25:55.5
motion,inactive,25:51.9
motion,active,25:22.9
motion,inactive,25:21.8
motion,active,24:41.3
motion,inactive,24:28.8
motion,active,23:06.9
motion,inactive,23:01.0
motion,active,21:56.0
motion,inactive,21:54.7
motion,active,21:32.1
motion,inactive,21:26.6
motion,active,21:07.9
motion,inactive,21:05.9
motion,active,19:27.8
motion,inactive,19:18.2
motion,active,18:06.2
motion,inactive,17:47.2
motion,active,17:27.0
motion,inactive,17:22.5
motion,active,16:56.6
motion,inactive,16:48.9
motion,active,16:17.1
motion,inactive,16:14.9
motion,active,15:56.8
motion,inactive,15:41.9
motion,active,14:53.2
motion,inactive,14:48.2
motion,active,14:23.5
motion,inactive,14:16.4
motion,active,13:43.9
motion,inactive,13:41.3
motion,active,13:05.5
motion,inactive,13:04.0
motion,active,12:30.1
motion,inactive,12:18.4
motion,active,11:47.4
motion,inactive,11:34.4
motion,active,10:31.2
motion,inactive,10:30.2
motion,active,09:46.4
motion,inactive,09:43.5
motion,active,08:36.8
motion,inactive,08:32.9
motion,active,08:21.1
motion,inactive,08:18.7
motion,active,08:07.1
motion,inactive,07:52.4
motion,active,07:41.7
motion,inactive,07:32.2
motion,active,07:07.9
motion,inactive,06:44.8
motion,active,06:08.8
motion,inactive,06:00.7
motion,active,05:42.7
motion,inactive,05:38.8
motion,active,05:28.2
motion,inactive,05:07.9
motion,active,03:50.6
motion,inactive,03:42.8
motion,active,59:24.5
motion,inactive,59:04.5
motion,active,57:54.3
motion,inactive,57:52.0
motion,active,57:06.9
motion,inactive,57:03.9
motion,active,55:48.0
motion,inactive,55:37.9
motion,active,55:24.8
motion,inactive,55:20.6
motion,active,54:49.9
motion,inactive,54:46.1
motion,active,53:57.0
motion,inactive,53:55.6
motion,active,53:22.7
motion,inactive,53:03.6
motion,active,52:20.9
motion,inactive,52:16.9
motion,active,51:51.1
motion,inactive,51:43.3
motion,active,51:05.6
motion,inactive,51:02.8
motion,active,50:09.3
motion,inactive,50:02.8
motion,active,48:46.3
motion,inactive,48:36.9
motion,active,47:43.0
motion,inactive,47:42.0
motion,active,47:08.4
motion,inactive,47:03.1
motion,active,46:52.6
motion,inactive,46:39.8
motion,active,45:29.3
